dialect,standard
주변에서도 많이 말하는데 청년 임대주택 덕분에 주거비 부담이 줄었다 다만 늦은 시간까지 이용할 수 있는 문화공간이 부족한당께는 점이 가장 불편한당께당께.,주변에서도 많이 말하는데 청년 임대주택 덕분에 주거비 부담이 줄었다 다만 늦은 시간까지 이용할 수 있는 문화공간이 부족하다는 점이 가장 불편합니다.
주변에서도 많이 말하는데 취업준비생 입장에서 AI·데이터 직무 채용정보가 부족한당께당께.,주변에서도 많이 말하는데 취업준비생 입장에서 AI·데이터 직무 채용정보가 부족하다.
최근 일부 노선의 배차가 개선돼 이동이 편해졌다는 점이 가장 불편한당께당께.,최근 일부 노선의 배차가 개선돼 이동이 편해졌다는 점이 가장 불편합니다.
요즘 느끼는 건 야간 근무자 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족한당께는 부분이 개선됐으면 한당께당께.,요즘 느끼는 건 야간 근무자 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족하다는 부분이 개선됐으면 합니다.
개인적으로 취업준비생 입장에서 취업지원 프로그램과 실제 채용이 잘 연결되지 않는다면 좋겠당께,개인적으로 취업준비생 입장에서 취업지원 프로그램과 실제 채용이 잘 연결되지 않는다면 좋겠습니다.
지역 청년 입장에서 필요한 서류를 사전에 확인하기 어렵당께 또 창업지원사업이 너무 많아 어떤 것을 신청해야 할지 모르겠다는 점이 가장 불편한당께당께.,지역 청년 입장에서 필요한 서류를 사전에 확인하기 어렵다 또 창업지원사업이 너무 많아 어떤 것을 신청해야 할지 모르겠다는 점이 가장 불편합니다.
지역에서 생활하면서 내 수준과 목표에 맞는 교육과정을 추천받고 싶다고 생각한당께당께.,지역에서 생활하면서 내 수준과 목표에 맞는 교육과정을 추천받고 싶다고 생각합니다.
광주·전남에서 지내다 보니 지역 청년 입장에서 신입이 지원할 수 있는 직무를 찾기 어렵당께 특히 야간 대중교통이 부족한당께는 부분이 개선됐으면 한당께당께.,광주·전남에서 지내다 보니 지역 청년 입장에서 신입이 지원할 수 있는 직무를 찾기 어렵다 특히 야간 대중교통이 부족하다는 부분이 개선됐으면 합니다.
주변에서도 많이 말하는데 신혼 청년 입장에서 청년주택 정보를 찾기 어렵당께는 부분이 개선됐으면 한당께당께.,주변에서도 많이 말하는데 신혼 청년 입장에서 청년주택 정보를 찾기 어렵다는 부분이 개선됐으면 합니다.
예비창업자 입장에서 지원금 신청 절차가 복잡하다는 부분이 개선됐으면 한당께당께.,예비창업자 입장에서 지원금 신청 절차가 복잡하다는 부분이 개선됐으면 합니다.
실제로 이용해보니 비전공자 입장에서 실무에 바로 쓸 수 있는 교육을 찾기 어렵당께는 부분이 개선됐으면 한당께당께.,실제로 이용해보니 비전공자 입장에서 실무에 바로 쓸 수 있는 교육을 찾기 어렵다는 부분이 개선됐으면 합니다.
주변에서도 많이 말하는데 경력 초기 청년 입장에서 인턴이나 현장실습 기회를 찾기 어렵당께당께.,주변에서도 많이 말하는데 경력 초기 청년 입장에서 인턴이나 현장실습 기회를 찾기 어렵다.
주변에서도 많이 말하는데 출퇴근하는 청년 입장에서 광주와 전남 시군을 오갈 때 시간이 너무 오래 걸린다는 부분이 개선됐으면 한당께당께.,주변에서도 많이 말하는데 출퇴근하는 청년 입장에서 광주와 전남 시군을 오갈 때 시간이 너무 오래 걸린다는 부분이 개선됐으면 합니다.
지역에서 생활하면서 대학생 입장에서 야간 대중교통이 부족한당께 다만 지원 가능한 주거사업 조건이 복잡하다라고 느끼당께당께.,지역에서 생활하면서 대학생 입장에서 야간 대중교통이 부족하다 다만 지원 가능한 주거사업 조건이 복잡하다라고 느낍니다.
개인적으로 청년주택 신청 절차가 더 단순해졌으면 좋겄네고 생각한당께당께.,개인적으로 청년주택 신청 절차가 더 단순해졌으면 좋겠다고 생각합니다.
개인적으로 실시간 교통 데이터를 활용해 경로를 추천해주면 좋겄네는 점이 가장 불편한당께당께.,개인적으로 실시간 교통 데이터를 활용해 경로를 추천해주면 좋겠다는 점이 가장 불편합니다.
광주·전남에서 지내다 보니 초기창업자 입장에서 초기 고객을 찾기 어렵당께는 점이 가장 불편한당께당께.,광주·전남에서 지내다 보니 초기창업자 입장에서 초기 고객을 찾기 어렵다는 점이 가장 불편합니다.
지역에서 생활하면서 1인 가구 입장에서 공연이나 전시 정보가 여러 채널에 흩어져 있당께는 점이 가장 불편한당께당께.,지역에서 생활하면서 1인 가구 입장에서 공연이나 전시 정보가 여러 채널에 흩어져 있다는 점이 가장 불편합니다.
주변에서도 많이 말하는데 출퇴근하는 청년 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족한당께는 부분이 개선됐으면 한당께당께.,주변에서도 많이 말하는데 출퇴근하는 청년 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족하다는 부분이 개선됐으면 합니다.
개인적으로 1인 가구 입장에서 주말에 참여할 커뮤니티 프로그램을 찾기 어렵당께는 부분이 개선됐으면 한당께당께.,개인적으로 1인 가구 입장에서 주말에 참여할 커뮤니티 프로그램을 찾기 어렵다는 부분이 개선됐으면 합니다.
요즘 느끼는 건 취업준비생 입장에서 보증금 마련이 부담된다당께.,요즘 느끼는 건 취업준비생 입장에서 보증금 마련이 부담된다.
실제로 이용해보니 주말에 여가를 즐기는 사람 입장에서 지역 소규모 행사 정보는 검색이 잘 되지 않는다라고 느끼당께당께.,실제로 이용해보니 주말에 여가를 즐기는 사람 입장에서 지역 소규모 행사 정보는 검색이 잘 되지 않는다라고 느낍니다.
주변에서도 많이 말하는데 야간 이동 수요를 반영한 교통서비스가 필요하다라고 느끼당께당께.,주변에서도 많이 말하는데 야간 이동 수요를 반영한 교통서비스가 필요하다라고 느낍니다.
타지역에서 이주한 청년 입장에서 단기 거주가 가능한 주택 정보를 찾기 어렵당께는 부분이 개선됐으면 한당께당께.,타지역에서 이주한 청년 입장에서 단기 거주가 가능한 주택 정보를 찾기 어렵다는 부분이 개선됐으면 합니다.
개인적으로 지역 스타트업 구성원 입장에서 지원사업 마감일을 자주 놓친다면 좋겠당께,개인적으로 지역 스타트업 구성원 입장에서 지원사업 마감일을 자주 놓친다면 좋겠습니다.
광주·전남에서 지내다 보니 실제 재직자의 직무 정보를 확인할 수 있으면 좋겄네면 좋겠당께,광주·전남에서 지내다 보니 실제 재직자의 직무 정보를 확인할 수 있으면 좋겠다면 좋겠습니다.
주변에서도 많이 말하는데 최근 일부 노선의 배차가 개선돼 이동이 편해졌다는 부분이 개선됐으면 한당께당께.,주변에서도 많이 말하는데 최근 일부 노선의 배차가 개선돼 이동이 편해졌다는 부분이 개선됐으면 합니다.
광주·전남에서 지내다 보니 청년 사업자 입장에서 초기 고객을 찾기 어렵당께면 좋겠당께,광주·전남에서 지내다 보니 청년 사업자 입장에서 초기 고객을 찾기 어렵다면 좋겠습니다.
주변에서도 많이 말하는데 중소기업 재직자 입장에서 내가 어떤 지원을 받을 수 있는지 판단하기 어렵당께는 의견입니다당께.,주변에서도 많이 말하는데 중소기업 재직자 입장에서 내가 어떤 지원을 받을 수 있는지 판단하기 어렵다는 의견입니다.
주변에서도 많이 말하는데 내 수준과 목표에 맞는 교육과정을 추천받고 싶다당께.,주변에서도 많이 말하는데 내 수준과 목표에 맞는 교육과정을 추천받고 싶다.
지역에서 생활하면서 정책 수혜 대상자 입장에서 필요한 서류를 사전에 확인하기 어렵당께는 점이 가장 불편한당께당께.,지역에서 생활하면서 정책 수혜 대상자 입장에서 필요한 서류를 사전에 확인하기 어렵다는 점이 가장 불편합니다.
대학생 입장에서 어떤 기술부터 배워야 할지 모르겠다는 부분이 개선됐으면 한당께당께.,대학생 입장에서 어떤 기술부터 배워야 할지 모르겠다는 부분이 개선됐으면 합니다.
지역 축제가 생각보다 다양해서 주말에 즐길 거리가 많았다는 점이 가장 불편한당께당께.,지역 축제가 생각보다 다양해서 주말에 즐길 거리가 많았다는 점이 가장 불편합니다.
취업을 준비하면서 자취하는 청년 입장에서 직장 근처에 적당한 주거지가 부족한당께 다만 지역기업 채용정보를 한눈에 찾기 어렵당께라고 느끼당께당께.,취업을 준비하면서 자취하는 청년 입장에서 직장 근처에 적당한 주거지가 부족하다 다만 지역기업 채용정보를 한눈에 찾기 어렵다라고 느낍니다.
주변에서도 많이 말하는데 사회초년생 입장에서 홈페이지마다 검색 방식이 달라 불편하다는 의견입니다당께.,주변에서도 많이 말하는데 사회초년생 입장에서 홈페이지마다 검색 방식이 달라 불편하다는 의견입니다.
광주·전남에서 지내다 보니 내 조건을 입력하면 받을 수 있는 정책을 추천받고 싶다는 의견입니다당께.,광주·전남에서 지내다 보니 내 조건을 입력하면 받을 수 있는 정책을 추천받고 싶다는 의견입니다.
요즘 느끼는 건 청년 사업자 입장에서 사업 단계에 맞는 지원을 찾기 어렵당께는 부분이 개선됐으면 한당께당께.,요즘 느끼는 건 청년 사업자 입장에서 사업 단계에 맞는 지원을 찾기 어렵다는 부분이 개선됐으면 합니다.
신청 마감일과 필요한 서류를 자동으로 알려주면 좋겄네라고 느끼당께당께.,신청 마감일과 필요한 서류를 자동으로 알려주면 좋겠다라고 느낍니다.
개인적으로 취업준비생 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵당께 특히 지원 가능한 주거사업 조건이 복잡하다당께.,개인적으로 취업준비생 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵다 특히 지원 가능한 주거사업 조건이 복잡하다.
현직자 강의는 직무 이해에 도움이 됐다 또 사업 단계에 맞는 지원을 찾기 어렵당께면 좋겠당께,현직자 강의는 직무 이해에 도움이 됐다 또 사업 단계에 맞는 지원을 찾기 어렵다면 좋겠습니다.
취업을 준비하면서 정책 수혜 대상자 입장에서 내가 어떤 지원을 받을 수 있는지 판단하기 어렵당께는 점이 가장 불편한당께당께.,취업을 준비하면서 정책 수혜 대상자 입장에서 내가 어떤 지원을 받을 수 있는지 판단하기 어렵다는 점이 가장 불편합니다.
광주·전남에서 지내다 보니 비전공자 입장에서 기업별 직무 정보가 너무 부족한당께는 부분이 개선됐으면 한당께당께.,광주·전남에서 지내다 보니 비전공자 입장에서 기업별 직무 정보가 너무 부족하다는 부분이 개선됐으면 합니다.
개인적으로 비슷한 정책의 차이를 비교해주면 좋겄네면 좋겠당께,개인적으로 비슷한 정책의 차이를 비교해주면 좋겠다면 좋겠습니다.
취업을 준비하면서 교육과 채용공고를 연결해서 보여주면 좋겄네 다만 전세나 월세 시세를 비교하기 어렵당께는 부분이 개선됐으면 한당께당께.,취업을 준비하면서 교육과 채용공고를 연결해서 보여주면 좋겠다 다만 전세나 월세 시세를 비교하기 어렵다는 부분이 개선됐으면 합니다.
취업을 준비하면서 청년 문화 프로그램에 참여하면서 새로운 사람들을 만날 수 있었다 그리고 주말에는 버스가 너무 뜸하다면 좋겠당께,취업을 준비하면서 청년 문화 프로그램에 참여하면서 새로운 사람들을 만날 수 있었다 그리고 주말에는 버스가 너무 뜸하다면 좋겠습니다.
지역에서 생활하면서 지역기업 채용설명회가 실제 취업 준비에 도움이 됐다당께.,지역에서 생활하면서 지역기업 채용설명회가 실제 취업 준비에 도움이 됐다.
요즘 느끼는 건 환승 정보가 예전보다 잘 제공되는 점은 좋다는 의견입니다당께.,요즘 느끼는 건 환승 정보가 예전보다 잘 제공되는 점은 좋다는 의견입니다.
실제로 이용해보니 정책 수혜 대상자 입장에서 신청 자격조건이 복잡하고 설명이 어렵당께면 좋겠당께,실제로 이용해보니 정책 수혜 대상자 입장에서 신청 자격조건이 복잡하고 설명이 어렵다면 좋겠습니다.
주변에서도 많이 말하는데 청년주택 신청 절차가 더 단순해졌으면 좋겄네 그리고 버스 배차간격이 길어 이동이 불편하다는 점이 가장 불편한당께당께.,주변에서도 많이 말하는데 청년주택 신청 절차가 더 단순해졌으면 좋겠다 그리고 버스 배차간격이 길어 이동이 불편하다는 점이 가장 불편합니다.
개인적으로 지역 스타트업 구성원 입장에서 기업 간 협업 파트너를 찾기 어렵당께라고 느끼당께당께.,개인적으로 지역 스타트업 구성원 입장에서 기업 간 협업 파트너를 찾기 어렵다라고 느낍니다.
개인적으로 지역기업 채용정보를 한곳에서 보고 싶다당께.,개인적으로 지역기업 채용정보를 한곳에서 보고 싶다.
취업을 준비하면서 최근 청년주택 공급이 늘어난 점은 긍정적이다는 점이 가장 불편한당께당께.,취업을 준비하면서 최근 청년주택 공급이 늘어난 점은 긍정적이다는 점이 가장 불편합니다.
개인적으로 대학생 입장에서 야간 대중교통이 부족한당께당께.,개인적으로 대학생 입장에서 야간 대중교통이 부족하다.
요즘 느끼는 건 직장인 입장에서 늦은 시간까지 이용할 수 있는 문화공간이 부족한당께고 생각한당께당께.,요즘 느끼는 건 직장인 입장에서 늦은 시간까지 이용할 수 있는 문화공간이 부족하다고 생각합니다.
개인적으로 지역 스타트업 구성원 입장에서 지원사업 공고가 여러 기관에 흩어져 있당께고 생각한당께당께.,개인적으로 지역 스타트업 구성원 입장에서 지원사업 공고가 여러 기관에 흩어져 있다고 생각합니다.
주변에서도 많이 말하는데 지역 청년 입장에서 지역기업의 연봉이나 복지 정보를 비교하기 어렵당께당께.,주변에서도 많이 말하는데 지역 청년 입장에서 지역기업의 연봉이나 복지 정보를 비교하기 어렵다.
요즘 느끼는 건 대학생 입장에서 AI 교육은 많지만 수준을 판단하기 어렵당께는 의견입니다당께.,요즘 느끼는 건 대학생 입장에서 AI 교육은 많지만 수준을 판단하기 어렵다는 의견입니다.
비전공자 입장에서 신입이 지원할 수 있는 직무를 찾기 어렵당께는 부분이 개선됐으면 한당께당께.,비전공자 입장에서 신입이 지원할 수 있는 직무를 찾기 어렵다는 부분이 개선됐으면 합니다.
개인적으로 취업준비생 입장에서 주거지원 정책마다 자격요건이 달라 헷갈린다 특히 지원사업 공고가 여러 기관에 흩어져 있당께는 부분이 개선됐으면 한당께당께.,개인적으로 취업준비생 입장에서 주거지원 정책마다 자격요건이 달라 헷갈린다 특히 지원사업 공고가 여러 기관에 흩어져 있다는 부분이 개선됐으면 합니다.
실제로 이용해보니 온라인 신청이 가능해져 예전보다 행정 절차가 편해졌다는 부분이 개선됐으면 한당께당께.,실제로 이용해보니 온라인 신청이 가능해져 예전보다 행정 절차가 편해졌다는 부분이 개선됐으면 합니다.
개인적으로 취업준비생 입장에서 홈페이지마다 검색 방식이 달라 불편하다는 의견입니다당께.,개인적으로 취업준비생 입장에서 홈페이지마다 검색 방식이 달라 불편하다는 의견입니다.
요즘 느끼는 건 여러 기관의 지원사업을 한 번에 검색하고 싶당께면 좋겠당께,요즘 느끼는 건 여러 기관의 지원사업을 한 번에 검색하고 싶다면 좋겠습니다.
개인적으로 중소기업 재직자 입장에서 문의할 기관을 찾는 데 시간이 오래 걸린다고 생각한당께당께.,개인적으로 중소기업 재직자 입장에서 문의할 기관을 찾는 데 시간이 오래 걸린다고 생각합니다.
취업을 준비하면서 사회초년생 입장에서 청년정책 정보가 기관별로 흩어져 있당께는 점이 가장 불편한당께당께.,취업을 준비하면서 사회초년생 입장에서 청년정책 정보가 기관별로 흩어져 있다는 점이 가장 불편합니다.
요즘 느끼는 건 취업준비생 입장에서 기업별 직무 정보가 너무 부족한당께당께.,요즘 느끼는 건 취업준비생 입장에서 기업별 직무 정보가 너무 부족하다.
개인적으로 대학생 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다는 부분이 개선됐으면 한당께당께.,개인적으로 대학생 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다는 부분이 개선됐으면 합니다.
광주·전남에서 지내다 보니 타지역에서 이주한 청년 입장에서 지원 가능한 주거사업 조건이 복잡하다 그리고 신청 자격조건이 복잡하고 설명이 어렵당께고 생각한당께당께.,광주·전남에서 지내다 보니 타지역에서 이주한 청년 입장에서 지원 가능한 주거사업 조건이 복잡하다 그리고 신청 자격조건이 복잡하고 설명이 어렵다고 생각합니다.
요즘 느끼는 건 비전공자 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다는 부분이 개선됐으면 한당께당께.,요즘 느끼는 건 비전공자 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다는 부분이 개선됐으면 합니다.
지역에서 생활하면서 출퇴근하는 청년 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족한당께 또 내가 어떤 지원을 받을 수 있는지 판단하기 어렵당께당께.,지역에서 생활하면서 출퇴근하는 청년 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족하다 또 내가 어떤 지원을 받을 수 있는지 판단하기 어렵다.
개인적으로 정책 수혜 대상자 입장에서 홈페이지마다 검색 방식이 달라 불편하다 또 무료 교육은 신청기간을 놓치기 쉽다는 점이 가장 불편한당께당께.,개인적으로 정책 수혜 대상자 입장에서 홈페이지마다 검색 방식이 달라 불편하다 또 무료 교육은 신청기간을 놓치기 쉽다는 점이 가장 불편합니다.
정책 수혜 대상자 입장에서 청년정책 정보가 기관별로 흩어져 있당께 또 지역에서는 고급 교육과정이 상대적으로 적다라고 느끼당께당께.,정책 수혜 대상자 입장에서 청년정책 정보가 기관별로 흩어져 있다 또 지역에서는 고급 교육과정이 상대적으로 적다라고 느낍니다.
내 역량에 맞는 직무를 추천받고 싶다면 좋겠당께,내 역량에 맞는 직무를 추천받고 싶다면 좋겠습니다.
지역에서 생활하면서 재직 청년 입장에서 실무에 바로 쓸 수 있는 교육을 찾기 어렵당께 특히 주말에는 버스가 너무 뜸하다는 점이 가장 불편한당께당께.,지역에서 생활하면서 재직 청년 입장에서 실무에 바로 쓸 수 있는 교육을 찾기 어렵다 특히 주말에는 버스가 너무 뜸하다는 점이 가장 불편합니다.
개인적으로 대학생 입장에서 실무에 바로 쓸 수 있는 교육을 찾기 어렵당께는 의견입니다당께.,개인적으로 대학생 입장에서 실무에 바로 쓸 수 있는 교육을 찾기 어렵다는 의견입니다.
취업을 준비하면서 비전공자 입장에서 기업별 직무 정보가 너무 부족한당께 또 비슷한 정책이 많아 차이를 비교하기 어렵당께당께.,취업을 준비하면서 비전공자 입장에서 기업별 직무 정보가 너무 부족하다 또 비슷한 정책이 많아 차이를 비교하기 어렵다.
취업을 준비하면서 지역 축제가 생각보다 다양해서 주말에 즐길 거리가 많았다는 부분이 개선됐으면 한당께당께.,취업을 준비하면서 지역 축제가 생각보다 다양해서 주말에 즐길 거리가 많았다는 부분이 개선됐으면 합니다.
지역에서 생활하면서 타지역에서 이주한 청년 입장에서 주거지원 정책마다 자격요건이 달라 헷갈린다는 점이 가장 불편한당께당께.,지역에서 생활하면서 타지역에서 이주한 청년 입장에서 주거지원 정책마다 자격요건이 달라 헷갈린다는 점이 가장 불편합니다.
광주·전남에서 지내다 보니 출퇴근하는 청년 입장에서 막차 시간이 빨라 늦게까지 활동하기 어렵당께는 점이 가장 불편한당께당께.,광주·전남에서 지내다 보니 출퇴근하는 청년 입장에서 막차 시간이 빨라 늦게까지 활동하기 어렵다는 점이 가장 불편합니다.
직장인 입장에서 행사 신청 방법이 제각각이라 불편하다 또 신청 자격조건이 복잡하고 설명이 어렵당께는 부분이 개선됐으면 한당께당께.,직장인 입장에서 행사 신청 방법이 제각각이라 불편하다 또 신청 자격조건이 복잡하고 설명이 어렵다는 부분이 개선됐으면 합니다.
주변에서도 많이 말하는데 최근 AI 실습 과정이 늘어나 선택지가 많아졌다는 점이 가장 불편한당께당께.,주변에서도 많이 말하는데 최근 AI 실습 과정이 늘어나 선택지가 많아졌다는 점이 가장 불편합니다.
공연·전시·체육 정보를 한곳에서 보고 싶다라고 느끼당께당께.,공연·전시·체육 정보를 한곳에서 보고 싶다라고 느낍니다.
실제로 이용해보니 실제 재직자의 직무 정보를 확인할 수 있으면 좋겄네는 부분이 개선됐으면 한당께당께.,실제로 이용해보니 실제 재직자의 직무 정보를 확인할 수 있으면 좋겠다는 부분이 개선됐으면 합니다.
지역에서 생활하면서 비전공자 입장에서 프로젝트 경험을 쌓을 기회가 부족한당께 특히 직장 근처에 적당한 주거지가 부족한당께면 좋겠당께,지역에서 생활하면서 비전공자 입장에서 프로젝트 경험을 쌓을 기회가 부족하다 특히 직장 근처에 적당한 주거지가 부족하다면 좋겠습니다.
요즘 느끼는 건 여러 기관의 지원사업을 한 번에 검색하고 싶당께고 생각한당께당께.,요즘 느끼는 건 여러 기관의 지원사업을 한 번에 검색하고 싶다고 생각합니다.
실제로 이용해보니 타지역에서 이주한 청년 입장에서 직장 근처에 적당한 주거지가 부족한당께는 점이 가장 불편한당께당께.,실제로 이용해보니 타지역에서 이주한 청년 입장에서 직장 근처에 적당한 주거지가 부족하다는 점이 가장 불편합니다.
청년 임대주택 덕분에 주거비 부담이 줄었다고 생각한당께당께.,청년 임대주택 덕분에 주거비 부담이 줄었다고 생각합니다.
요즘 느끼는 건 내 조건에 맞는 주거지원 정책을 자동으로 추천받고 싶다는 점이 가장 불편한당께당께.,요즘 느끼는 건 내 조건에 맞는 주거지원 정책을 자동으로 추천받고 싶다는 점이 가장 불편합니다.
실제로 이용해보니 출퇴근하는 청년 입장에서 버스 도착 정보가 실제와 다른 경우가 있당께는 의견입니다당께.,실제로 이용해보니 출퇴근하는 청년 입장에서 버스 도착 정보가 실제와 다른 경우가 있다는 의견입니다.
출퇴근하는 청년 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족한당께 또 청년정책 정보가 기관별로 흩어져 있당께면 좋겠당께,출퇴근하는 청년 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족하다 또 청년정책 정보가 기관별로 흩어져 있다면 좋겠습니다.
실제로 이용해보니 정책 수혜 대상자 입장에서 문의할 기관을 찾는 데 시간이 오래 걸린다 또 청년주택 정보를 찾기 어렵당께라고 느끼당께당께.,실제로 이용해보니 정책 수혜 대상자 입장에서 문의할 기관을 찾는 데 시간이 오래 걸린다 또 청년주택 정보를 찾기 어렵다라고 느낍니다.
취업을 준비하면서 직장인 입장에서 청년이 즐길 만한 문화행사 정보를 찾기 어렵당께라고 느끼당께당께.,취업을 준비하면서 직장인 입장에서 청년이 즐길 만한 문화행사 정보를 찾기 어렵다라고 느낍니다.
요즘 느끼는 건 대학생 입장에서 지역에서는 고급 교육과정이 상대적으로 적다 그리고 지원사업 공고가 여러 기관에 흩어져 있당께당께.,요즘 느끼는 건 대학생 입장에서 지역에서는 고급 교육과정이 상대적으로 적다 그리고 지원사업 공고가 여러 기관에 흩어져 있다.
지역에서 생활하면서 지역 청년 입장에서 필요한 서류를 사전에 확인하기 어렵당께면 좋겠당께,지역에서 생활하면서 지역 청년 입장에서 필요한 서류를 사전에 확인하기 어렵다면 좋겠습니다.
비슷한 정책의 차이를 비교해주면 좋겄네면 좋겠당께,비슷한 정책의 차이를 비교해주면 좋겠다면 좋겠습니다.
직무전환을 준비하는 사람 입장에서 지역에서는 고급 교육과정이 상대적으로 적다는 의견입니다당께.,직무전환을 준비하는 사람 입장에서 지역에서는 고급 교육과정이 상대적으로 적다는 의견입니다.
요즘 느끼는 건 정책 수혜 대상자 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵당께라고 느끼당께당께.,요즘 느끼는 건 정책 수혜 대상자 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵다라고 느낍니다.
실제로 이용해보니 위치와 시간에 맞춰 여가 활동을 추천해주면 좋겄네면 좋겠당께,실제로 이용해보니 위치와 시간에 맞춰 여가 활동을 추천해주면 좋겠다면 좋겠습니다.
광주·전남에서 지내다 보니 주말에 여가를 즐기는 사람 입장에서 혼자 참여하기 좋은 프로그램을 찾기 어렵당께는 의견입니다당께.,광주·전남에서 지내다 보니 주말에 여가를 즐기는 사람 입장에서 혼자 참여하기 좋은 프로그램을 찾기 어렵다는 의견입니다.
광주·전남에서 지내다 보니 지역 청년 입장에서 정책 변경사항을 제때 알기 어렵당께고 생각한당께당께.,광주·전남에서 지내다 보니 지역 청년 입장에서 정책 변경사항을 제때 알기 어렵다고 생각합니다.
광주·전남에서 지내다 보니 공연·전시·체육 정보를 한곳에서 보고 싶다당께.,광주·전남에서 지내다 보니 공연·전시·체육 정보를 한곳에서 보고 싶다.
예비창업자 입장에서 공간 지원과 자금 지원 정보를 함께 찾기 어렵당께라고 느끼당께당께.,예비창업자 입장에서 공간 지원과 자금 지원 정보를 함께 찾기 어렵다라고 느낍니다.
비슷한 관심사의 사람들과 참여할 프로그램을 찾고 싶다는 부분이 개선됐으면 한당께당께.,비슷한 관심사의 사람들과 참여할 프로그램을 찾고 싶다는 부분이 개선됐으면 합니다.
실제로 이용해보니 최근 청년 취업 프로그램이 다양해진 점은 좋다면 좋겠당께,실제로 이용해보니 최근 청년 취업 프로그램이 다양해진 점은 좋다면 좋겠습니다.
대학생 입장에서 생활체육 프로그램 정보가 부족한당께당께.,대학생 입장에서 생활체육 프로그램 정보가 부족하다.
주변에서도 많이 말하는데 광주·전남을 오가는 사람 입장에서 버스 배차간격이 길어 이동이 불편하다면 좋겠당께,주변에서도 많이 말하는데 광주·전남을 오가는 사람 입장에서 버스 배차간격이 길어 이동이 불편하다면 좋겠습니다.
취업준비생 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵당께라고 느끼당께당께.,취업준비생 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵다라고 느낍니다.
지역에서 생활하면서 취업준비생 입장에서 신청기간이 짧아 놓치는 경우가 많다 그리고 월세 부담이 너무 크다는 점이 가장 불편한당께당께.,지역에서 생활하면서 취업준비생 입장에서 신청기간이 짧아 놓치는 경우가 많다 그리고 월세 부담이 너무 크다는 점이 가장 불편합니다.
지역에서 생활하면서 비전공자 입장에서 어떤 기술부터 배워야 할지 모르겠다고 생각한당께당께.,지역에서 생활하면서 비전공자 입장에서 어떤 기술부터 배워야 할지 모르겠다고 생각합니다.
취업을 준비하면서 재직 청년 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다고 생각한당께당께.,취업을 준비하면서 재직 청년 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다고 생각합니다.
개인적으로 지원사업 마감일을 한 번에 관리하고 싶당께당께.,개인적으로 지원사업 마감일을 한 번에 관리하고 싶다.
직장인 입장에서 혼자 참여하기 좋은 프로그램을 찾기 어렵당께라고 느끼당께당께.,직장인 입장에서 혼자 참여하기 좋은 프로그램을 찾기 어렵다라고 느낍니다.
요즘 느끼는 건 지역 스타트업 구성원 입장에서 지원사업 마감일을 자주 놓친다당께.,요즘 느끼는 건 지역 스타트업 구성원 입장에서 지원사업 마감일을 자주 놓친다.
광주·전남에서 지내다 보니 취업준비생 입장에서 교육 이후 포트폴리오로 연결하기 어렵당께는 점이 가장 불편한당께당께.,광주·전남에서 지내다 보니 취업준비생 입장에서 교육 이후 포트폴리오로 연결하기 어렵다는 점이 가장 불편합니다.
광주·전남에서 지내다 보니 자취하는 청년 입장에서 보증금 마련이 부담된다고 생각한당께당께.,광주·전남에서 지내다 보니 자취하는 청년 입장에서 보증금 마련이 부담된다고 생각합니다.
실제로 이용해보니 지역 청년 입장에서 지역별 행사 정보를 비교하기 어렵당께고 생각한당께당께.,실제로 이용해보니 지역 청년 입장에서 지역별 행사 정보를 비교하기 어렵다고 생각합니다.
실제로 이용해보니 프리랜서 입장에서 사업 단계에 맞는 지원을 찾기 어렵당께는 부분이 개선됐으면 한당께당께.,실제로 이용해보니 프리랜서 입장에서 사업 단계에 맞는 지원을 찾기 어렵다는 부분이 개선됐으면 합니다.
개인적으로 출퇴근하는 청년 입장에서 지역 간 환승이 불편하다는 부분이 개선됐으면 한당께당께.,개인적으로 출퇴근하는 청년 입장에서 지역 간 환승이 불편하다는 부분이 개선됐으면 합니다.
요즘 느끼는 건 타지역에서 이주한 청년 입장에서 직장 근처에 적당한 주거지가 부족한당께는 점이 가장 불편한당께당께.,요즘 느끼는 건 타지역에서 이주한 청년 입장에서 직장 근처에 적당한 주거지가 부족하다는 점이 가장 불편합니다.
